region;culture;Date;Production en tonne;Superficie en ha;Rendement kg/ha
MBACKE;MANIOC;2022;38349.763008;4800;7989.53396
MBACKE;MAIS;2017;706.656579058563;743.849030587961;950
MBACKE;MAIS;2018;777.322236964419;818.233933646757;950
MBACKE;MAIS;2019;520;650;800
MBACKE;MAIS;2020;29.568;32;924
MBACKE;MAIS;2021;491.239652690089;643.516592846944;763.3675
MBACKE;MAIS;2022;506.800798563908;577.616592846944;877.4
MBACKE;FONIO;2019;36;72;500
REGION DE FATICK;ARACHIDE;2017;230104.166005893;177938.422698921;1293.16739193107
REGION DE FATICK;ARACHIDE;2018;228148.5;175399;1300.7400270241
REGION DE FATICK;ARACHIDE;2019;239750;195000;1229.48717948718
REGION DE FATICK;ARACHIDE;2020;231807.02290791;188837.25701681;1227.54919537554
REGION DE FATICK;ARACHIDE;2021;235009.461136765;189807.665827755;1238.14525673599
REGION DE FATICK;ARACHIDE;2022;218929.712270489;185396.335943146;1180.87399708712
REGION DE FATICK;SORGHO;2017;9135.6;9460;965.708245243129
REGION DE FATICK;SORGHO;2018;10210.91;11518.3;886.494534783779
REGION DE FATICK;SORGHO;2019;14215.6;15618;910.20617236522
REGION DE FATICK;SORGHO;2020;20982.4012509323;19421.7728923151;1080.354577683
REGION DE FATICK;SORGHO;2021;13327.1379714308;14231.0305120237;936.48439304313
REGION DE FATICK;SORGHO;2022;12681.2592214548;14757.7994268185;859.292016017637
REGION DE FATICK;RIZ;2017;12898.1779814667;7898.78532097778;1632.93183158319
REGION DE FATICK;RIZ;2018;7400;3700;2000
REGION DE FATICK;RIZ;2019;9780.4268;5578.6;1753.20453160291
REGION DE FATICK;RIZ;2020;17190.53973;7737.8;2221.63143658404
REGION DE FATICK;RIZ;2021;13584.98862848;6689.28;2030.85961844623
REGION DE FATICK;RIZ;2022;14037.429;6980.48;2010.9546907949
REGION DE FATICK;MIL;2017;189689.919971641;178789.828343795;1060.9659493989
REGION DE FATICK;MIL;2018;174482.726497317;179251.635329756;973.395451463157
REGION DE FATICK;MIL;2019;182000;190000;957.894736842105
REGION DE FATICK;MIL;2020;206960.094476671;194733.01453481;1062.78894193196
REGION DE FATICK;MIL;2021;189593.048121973;176882.513318591;1071.85862844728
REGION DE FATICK;MIL;2022;198071.683657494;181321.024086073;1092.38123188334
REGION DE FATICK;NIEBE;2017;3295.0200555937;7925.08637387372;415.770869886826
